任务类型,任务描述,总数,总数占比,总成功率,Bank数量,Bank占比,Bank成功率,Market-cloudbed-1数量,Market-cloudbed-1占比,Market-cloudbed-1成功率,Market-cloudbed-2数量,Market-cloudbed-2占比,Market-cloudbed-2成功率,Telecom数量,Telecom占比,Telecom成功率
task_1,只需要确定根本原因发生时间,54,16.12%,12.96%,25,46.30%,16.00%,12,22.22%,8.33%,7,12.96%,0.00%,10,18.52%,20.00%
task_2,只需要确定根本原因,57,17.01%,22.81%,22,38.60%,13.64%,10,17.54%,10.00%,15,26.32%,13.33%,10,17.54%,70.00%
task_3,只需要确定根本原因组件,38,11.34%,13.16%,15,39.47%,13.33%,8,21.05%,0.00%,11,28.95%,9.09%,4,10.53%,50.00%
task_4,需要确定根本原因发生时间和原因,44,13.13%,6.82%,18,40.91%,11.11%,7,15.91%,0.00%,11,25.00%,0.00%,8,18.18%,12.50%
task_5,需要确定根本原因发生时间和组件,44,13.13%,6.82%,18,40.91%,11.11%,10,22.73%,10.00%,12,27.27%,0.00%,4,9.09%,0.00%
task_6,需要确定根本原因组件和原因,55,16.42%,12.73%,21,38.18%,33.33%,12,21.82%,0.00%,16,29.09%,0.00%,6,10.91%,0.00%
task_7,需要确定根本原因发生时间、组件和原因,43,12.84%,0.00%,17,39.53%,0.00%,11,25.58%,0.00%,6,13.95%,0.00%,9,20.93%,0.00%
